ID,Source,Sentence,temporal_gold,spatial_gold,temporal_OK,spatial_OK,temporal_final,spatial_final,note,annotator,status
L0047,ibm,"""If, in the Submit Schedule sub-flow, the system determines that the Student has not satisfied the necessary prerequisites, or that the selected course offering is full, or that there are schedule conflicts, an error message is displayed.""",,"in the Submit Schedule sub-flow, the system determines that the Student has not satisfied the necessary prerequisites, or that the selected course offering is full, or that there are schedule conflicts",CHECK,CHECK,,"in the Submit Schedule sub-flow, the system determines that the Student has not satisfied the necessary prerequisites, or that the selected course offering is full, or that there are schedule conflicts",,,pending
L0048,ibm,"""If the use case was successful, student grades for a course offering are updated.""",,,CHECK,CHECK,,,,,pending
L0049,ibm,"""If the use case was successful, the student schedule is created, updated, or deleted.""",,,CHECK,CHECK,,,,,pending
L0050,ibm,"""Once the Registrar updates the necessary information, the system updates the student information.""",Registrar updates the necessary information,,CHECK,CHECK,Registrar updates the necessary information,,,,pending
L0051,ibm,"""Once the student has made his or her selections, the system updates the schedule for the Student using the selected course offerings.""",,,CHECK,CHECK,,,,,pending
L0052,ibm,"""Once the Registrar updates the necessary information, the system updates the professor record.""",Registrar updates the necessary information,,CHECK,CHECK,Registrar updates the necessary information,,,,pending
L0053,ibm,The Student can also update or delete course selections if changes are made within the add or drop period at the beginning of the semester.,changes are made within the add or drop period at the beginning of the semester,,CHECK,CHECK,changes are made within the add or drop period at the beginning of the semester,,,,pending
L0054,ibm,Professors cannot change the course offerings they teach after registration for the current semester has been closed.,after registration for the current semester has been closed,,CHECK,CHECK,after registration for the current semester has been closed,,,,pending
L0055,ibm,"""If, in the Basic Flow, the system cannot find any grade information from the previous semester for the Student, a message is displayed.""",,"in the Basic Flow, the system cannot find any grade information from the previous semester for the Student",CHECK,CHECK,,"in the Basic Flow, the system cannot find any grade information from the previous semester for the Student",,,pending
L0056,ibm,"""If the system is unable to communicate with the Course Catalog System, the system will display an error message to the Student.""",,system is unable to communicate with the Course Catalog System,CHECK,CHECK,,system is unable to communicate with the Course Catalog System,,,pending
L0057,ibm,"""If the use case was successful, the professor information is added, updated, or deleted from the system.""",,,CHECK,CHECK,,,,,pending
L0058,ibm,"""If the schedule contains “enrolled in” course offerings, the Student must be removed from the course offering.""",,,CHECK,CHECK,,,,,pending
L0059,ibm,"""If a course fills up during the actual registration process, the student must be notified of the change before submitting the schedule for processing.""",course fills up during the actual registration process,,CHECK,CHECK,course fills up during the actual registration process,,,,pending
L0060,ibm,Students cannot register for course offerings after registration for the current semester has been closed.,,registration for the current semester has been closed,CHECK,CHECK,,registration for the current semester has been closed,,,pending
L0061,ibm,The Close Registration processing cannot be performed if registration is in progress.,,registration is in progress,CHECK,CHECK,,registration is in progress,,,pending
L0062,ibm,"""Once the student has made his or her selections, the system creates a schedule for the Student containing the selected course offerings.""",,,CHECK,CHECK,,,,,pending
L0063,ibm,"""If the course offerings do not have at least three students at this point (some may have been added as a result of leveling), then the system cancels the course offering.""",,course offerings do not have at least three students at this point (some may have been added as a result of leveling),CHECK,CHECK,,course offerings do not have at least three students at this point (some may have been added as a result of leveling),,,pending
L0064,ibm,"""If the systems find a schedule conflict when trying to establish the course offerings the Professor should take, the system will display an error message indicating that a schedule conflict has occurred.""",systems find a schedule conflict when trying to establish the course offerings the Professor should take,,CHECK,CHECK,systems find a schedule conflict when trying to establish the course offerings the Professor should take,,,,pending
L0065,ibm,"""If the use case was successful, the student information is added, updated, or deleted from the system.""",,,CHECK,CHECK,,,,,pending
L0066,ibm,"""If, in the Basic Flow, the Professor did not teach any course offerings in the previous semester, the system will display an error message.""",,,CHECK,CHECK,,,,,pending
L0067,ibm,"""If, in the Basic Flow, the actor enters an invalid name possibly and possibly password, the system displays an error message.""",,,CHECK,CHECK,,,,,pending
L0068,ibm,"""If the system is unable to communicate with the Billing System, the system will attempt to re-send the request after a specified period.""",,system is unable to communicate with the Billing System,CHECK,CHECK,,system is unable to communicate with the Billing System,,,pending
L0069,ibm,"If, in the Delete A Student sub-flow, the Registrar decides not to delete the student,",,,CHECK,CHECK,,,,,pending
L0070,ibm,"When the use case starts, if it is determined that registration for the current semester has been closed, a message is displayed to the Student.",,it is determined that registration for the current semester has been closed,CHECK,CHECK,,it is determined that registration for the current semester has been closed,,,pending
L0071,ibm,"When the use case starts, if it is determined that registration for the current semester has been closed, a message is displayed to the Professor",,it is determined that registration for the current semester has been closed,CHECK,CHECK,,it is determined that registration for the current semester has been closed,,,pending
L0072,collected,Customer service reps can use credit card number for the purpose of updating records if requested by a patient.,,requested by a patient,CHECK,CHECK,,requested by a patient,,,pending
L0073,collected,"Customer Service Reps can modify credit card numbers for order processing, if the customer is notified by email of the change.",,,CHECK,CHECK,,,,,pending
L0074,collected,"Customer service reps, ducks or Lawyers can use credit card number for the purpose of making treatment decisions if customer has opted-in.",,,CHECK,CHECK,,,,,pending
L0075,collected,Admission nurses use SSN for reviewing eligibility if requested by a patient who is returning.,,requested by a patient who is returning,CHECK,CHECK,,requested by a patient who is returning,,,pending
L0076,collected,Supervisors can collect personal information if required by law.,,,CHECK,CHECK,,,,,pending
L0077,collected,Management can report customer transactions if required by law.,,,CHECK,CHECK,,,,,pending
L0078,collected,"If the invoice’s total amount exceeds one million, then two different supervisors must authorize the invoice.",,,CHECK,CHECK,,,,,pending
L0079,collected,"If the subject is a faculty member, then permit that subject to assign grades.",,,CHECK,CHECK,,,,,pending
L0080,collected,"If the subject is not a faculty member, then permit that subject to enroll in courses.",,,CHECK,CHECK,,,,,pending
L0081,collected,"Privacy laws require, however, that a person should have full access to any information stored about them (unless the well-being of a third party would be jeopardised by revealing the information).",,,CHECK,CHECK,,,,,pending
L0082,collected,Pharmacy System can load medicines to the dispenser only at a time interval 12:00-13:00 in a day.,at a time interval 12:00-13:00 in a day,,CHECK,CHECK,at a time interval 12:00-13:00 in a day,,,,pending
L0083,collected,Any subject with an e-mail name in the med.example.com domain can perform any action on any resource.,,,CHECK,CHECK,,,,,pending
L0084,collected,"A person may read any record for which he or she is the designated parent or guardian, and for which the patient is under 16 years of age.",,he or she is the designated parent or guardian;  the patient is under 16 years of age,CHECK,CHECK,,he or she is the designated parent or guardian;  the patient is under 16 years of age,,,pending
L0085,collected,"A physician may write to any medical element for which he or she is the designated primary care physician, provided an email is sent to the patient.",,email is sent to the patient,CHECK,CHECK,,email is sent to the patient,,,pending
L0086,collected,"Users who do not have access to information should not be able to determine its characteristics (file size, file name, directory path, etc.)",,Users who do not have access to information,CHECK,CHECK,,Users who do not have access to information,,,pending
L0087,collected,All users are given read or write access to objects only of the same classification (a secret user can only read or write to a secret document).,,objects only of the same classification,CHECK,CHECK,,objects only of the same classification,,,pending
L0088,collected,"During the submission phase, an author may submit a paper.",submission phase,,CHECK,CHECK,submission phase,,,,pending
L0089,collected,"During the review phase, reviewer may submit a review for paper if reviewer is assigned to review paper.",review phase,,CHECK,CHECK,review phase,,,,pending
L0090,collected,"During the meeting phase, reviewer can read the scores for paper if reviewer has submitted a review for paper.",During the meeting phase,,CHECK,CHECK,During the meeting phase,,,,pending
L0091,collected,A subject cannot review a project he or she has submitted.,,,CHECK,CHECK,,,,,pending
L0092,collected,A subject cannot approve projects he or she has reviewed or submitted.,,,CHECK,CHECK,,,,,pending
L0093,collected,"The PC chair can assign a paper to a PC member for reviewing, except if he is one of its authors.",,,CHECK,CHECK,,,,,pending
L0094,collected,"A reviewer of a paper can resign, unless he has already appointed a sub-reviewer for the paper.",,,CHECK,CHECK,,,,,pending
L0095,collected,"A sub-reviewer can resign, unless he has already submitted his review.",,,CHECK,CHECK,,,,,pending
L0096,collected,"If the subject is a student, then do not permit that subject to assign grades.",,,CHECK,CHECK,,,,,pending
L0097,collected,In an electronic system we can allow residents to hook into the network at any time as long as they can view only their own data and cannot make arbitrary changes.,,they can view only their own data and cannot make arbitrary changes,CHECK,CHECK,,they can view only their own data and cannot make arbitrary changes,,,pending
L0098,collected,"However, it should not perform these operations when it is loading medicines to the medicine dispenser.",,,CHECK,CHECK,,,,,pending
L0099,collected,"If a subject is not a pc-chair or admin, then he or she may not set the meeting flag.",,,CHECK,CHECK,,,,,pending
L0100,collected,"If someone is not a pc-chair or admin, then he or she can never see paper-review-rc for which he or she is conflicted.",,,CHECK,CHECK,,,,,pending
L0101,collected,"Although she can enter the past medical records when a resident is admitted,",when a resident is admitted,,CHECK,CHECK,when a resident is admitted,,,,pending
L0102,t2p,"""When an LHCP views a list of his upcoming appointments, system presents an option to edit or remove the appointment.""",,,CHECK,CHECK,,,,,pending
L0103,t2p,The LHCP views all patients with which he or she has ever had an office visit with.,,,CHECK,CHECK,,,,,pending
L0104,t2p,"""After a message is sent, the LHCP is directed to his message outbox.""",,,CHECK,CHECK,,,,,pending
L0105,t2p,"""When the chosen patient satisfies the preconditions of the chosen chronic disease, the LHCP is provided with a warning message.""",,chosen patient satisfies the preconditions of the chosen chronic disease,CHECK,CHECK,,chosen patient satisfies the preconditions of the chosen chronic disease,,,pending
L0106,t2p,"""After a message is sent, the patient or personal representative is directed to his message outbox.""",,,CHECK,CHECK,,,,,pending
L0107,t2p,"""By default, the messages in the list should be ordered by timestamp, the most recent first.""",,,CHECK,CHECK,,,,,pending
L0108,t2p,"""The HCP must provide instructions, or else they cannot add the prescription.""",,,CHECK,CHECK,,,,,pending
L0109,t2p,"""By default, the messages in the message inbox should be ordered by timestamp, the most recent first.""",,,CHECK,CHECK,,,,,pending
L0110,t2p,Patients with a weight value 5% more or less than the immediate previously recorded weight value are highlighted.,,Patients with a weight value 5% more or less than the immediate previously recorded weight value,CHECK,CHECK,,Patients with a weight value 5% more or less than the immediate previously recorded weight value,,,pending
L0111,t2p,The patient views all LHCPs the patient has ever had an office visit with and those whom he or she had designated.,,patient has ever had an office visit with; he or she had designated,CHECK,CHECK,,patient has ever had an office visit with; he or she had designated,,,pending
L0112,t2p,System presents a screen upon which he can choose a date range.,upon which he can choose a date range,,CHECK,CHECK,upon which he can choose a date range,,,,pending
L0113,t2p,"""A fake email is sent to the LHCP who prescribed the medication indicating the patient name and MID, drug, and symptoms.""",,LHCP who prescribed the medication,CHECK,CHECK,,LHCP who prescribed the medication,,,pending
L0114,t2p,"""Upon reading the report, the public health agent can send a """"fake email"""" message to the adverse event reporter to gain more information about the report.""",,,CHECK,CHECK,,,,,pending
L0115,t2p,"""When the patient and LHCP are chosen, system presents the MID of the patient that will be sent to the receiving HCP.""",,patient and LHCP are chosen,CHECK,CHECK,,patient and LHCP are chosen,,,pending
L0116,t2p,(If a patient or personal representative has not taken an office visit satisfaction survey for an office visit yet) The patient may take the survey for an office visit,,patient or personal representative has not taken an office visit satisfaction survey for an office visit yet,CHECK,CHECK,,patient or personal representative has not taken an office visit satisfaction survey for an office visit yet,,,pending
L0117,t2p,"(if the survey has already been taken, the patient or personal health representative will not have the ability to take the survey).",,,CHECK,CHECK,,,,,pending
L0118,t2p,"(if the survey has already been taken, the patient or personal health representative will not have the ability to view their previously submitted survey).",,,CHECK,CHECK,,,,,pending
L0119,acre,"If the confirmation screen does not show the name of the intended patient, the HCP is then prompted to input the correct patient identification information again.",,confirmation screen does not show the name of the intended patient,CHECK,CHECK,,confirmation screen does not show the name of the intended patient,,,pending
L0120,acre,"When an LHCP views a list of his or her upcoming appointments, they are presented with an option to edit or remove the appointment.",,,CHECK,CHECK,,,,,pending
L0121,acre,The LHCP does not confirm the selection and can try again.,,,CHECK,CHECK,,,,,pending
L0122,acre,The sending HCP does not confirm the selection and is prompted to try again.,,,CHECK,CHECK,,,,,pending
L0123,acre,"In the list of in transit lab procedures , the Lab Technician can update the status to received when the sample has been received in his or her lab.",,,CHECK,CHECK,,,,,pending
L0124,acre,The LHCP is presented with a list of other appointments that conflict with the new one.,,appointments that conflict with the new one,CHECK,CHECK,,appointments that conflict with the new one,,,pending
L0125,acre,"If the requested appointment time does conflict with an existing appointments, the patient is presented with a list of the three next non-overlapping available appointment times within 7 days of the requested date.",requested appointment time does conflict with an existing appointments,,CHECK,CHECK,requested appointment time does conflict with an existing appointments,,,,pending
L0126,acre,"If answer to security question is correct, allow user to change their password.",,,CHECK,CHECK,,,,,pending
L0127,acre,The administrator types an invalid hospital ID and is prompted to try again.,,administrator types an invalid hospital ID,CHECK,CHECK,,administrator types an invalid hospital ID,,,pending
L0128,acre,A session that has been inactive for more than ten minutes is terminated .,,session that has been inactive for more than ten minutes,CHECK,CHECK,,session that has been inactive for more than ten minutes,,,pending
L0129,acre,The LHCP types an invalid age range and is prompted to try again.,,,CHECK,CHECK,,,,,pending
L0130,acre,"The HCP must provide instructions (can neither be empty nor the default form field value), or else they cannot add the prescription.",,,CHECK,CHECK,,,,,pending
L0131,acre,"After the patient logs in, an activity feed is displayed .",,patient logs in,CHECK,CHECK,,patient logs in,,,pending
L0132,acre,"If the LHCP is not one of the patient's DLHCP or the UAP associated with one of their DLHCP, a message is sent to the patient and their personal representative .",,LHCP is not one of the patient's DLHCP;  UAP associated with one of their DLHCP,CHECK,CHECK,,LHCP is not one of the patient's DLHCP;  UAP associated with one of their DLHCP,,,pending
L0133,acre,The HCP types an invalid medical identification number and is prompted to try again.,,HCP types an invalid medical identification number,CHECK,CHECK,,HCP types an invalid medical identification number,,,pending
L0134,acre,An HCP can reassign a previously created lab procedure to a different Lab Technician if the lab procedure is not yet in the testing state.,,lab procedure is not yet in the testing state,CHECK,CHECK,,lab procedure is not yet in the testing state,,,pending
L0135,acre,The LHCP or ER does not confirm the selection and is prompted to try again.,,,CHECK,CHECK,,,,,pending
L0136,acre,"After entering all required information, the HCP selects the Add button .",,entering all required information,CHECK,CHECK,,entering all required information,,,pending
L0137,acre,A sending HCP edits a previously created patient referral as long as the referral has not been viewed by the receiving HCP.,,,CHECK,CHECK,,,,,pending
L0138,acre,"On the patient homepage, the Patient views a notification center.",,patient homepage,CHECK,CHECK,,patient homepage,,,pending
L0139,acre,The HCP can choose to remove the lab procedure as long as the status is either in transit or received.,,status is either in transit or received,CHECK,CHECK,,status is either in transit or received,,,pending
L0140,acre,"Similar to an administrator, a software tester is added by directly entering the software tester into the database by an administrator that has access to the database.",,administrator that has access to the database,CHECK,CHECK,,administrator that has access to the database,,,pending
L0141,acre,"A patient can click View Full Calendar link to view his or her appointments in the current month together with his or her office visit dates, prescription dates, and lab procedure dates in the current month displayed on a calendar for the current month .","view his or her appointments in the current month together with his or her office visit dates, prescription dates, and lab procedure dates in the current month",,CHECK,CHECK,"view his or her appointments in the current month together with his or her office visit dates, prescription dates, and lab procedure dates in the current month",,,,pending
L0142,acre,The user inputs the MID of a patient who is deceased and is prompted to try again.,,user inputs the MID of a patient who is deceased,CHECK,CHECK,,user inputs the MID of a patient who is deceased,,,pending
L0143,acre,The HCP types a invalid zip code (zip codes are five digits) and is prompted to try again.,,,CHECK,CHECK,,,,,pending
L0144,acre,"An HCP chooses Office Visit Reminders and then to identify chronic patients who need an office visit , older patients who need a flu shot , or any patient who is overdue for an immunization .",,"identify chronic patients who need an office visit , older patients who need a flu shot , or any patient who is overdue for an immunization",CHECK,CHECK,,"identify chronic patients who need an office visit , older patients who need a flu shot , or any patient who is overdue for an immunization",,,pending
L0145,acre,The patient chooses to view all LHCPs the patient has ever had an office visit with and those whom he or she had designated .,,patient has ever had an office visit with and those whom he or she had designated,CHECK,CHECK,,patient has ever had an office visit with and those whom he or she had designated,,,pending
L0146,acre,The user inputs invalid information and is prompted to try again.,,user inputs invalid information,CHECK,CHECK,,user inputs invalid information,,,pending
L0147,acre,The administrator types an invalid code information and is prompted to try again.,,administrator types an invalid code information,CHECK,CHECK,,administrator types an invalid code information,,,pending
L0148,acre,The LHCP types an invalid MID and is prompted to try again.,,,CHECK,CHECK,,,,,pending
L0149,acre,"By default, the messages in the list should be ordered by timestamp, the most recent first.",,,CHECK,CHECK,,,,,pending
L0150,acre,The LHCP does not confirm the selection and is prompted to try again.,,,CHECK,CHECK,,,,,pending
L0151,acre,The health care professional does not confirm the selection and is prompted to try again.,,,CHECK,CHECK,,,,,pending
L0152,acre,The HCP types an invalid date and is prompted to try again.,HCP types an invalid date,,CHECK,CHECK,HCP types an invalid date,,,,pending
L0153,acre,The LHCP types an invalid medical identification number and is prompted to try again.,,LHCP types an invalid medical identification number,CHECK,CHECK,,LHCP types an invalid medical identification number,,,pending
L0154,acre,"After a message is sent, the patient or personal representative is directed to his or her message outbox.",After a message is sent,,CHECK,CHECK,After a message is sent,,,,pending
L0155,acre,The health care personnel does not confirm the selection and is prompted to try again.,,,CHECK,CHECK,,,,,pending
L0156,acre,"While documenting an office visit, the HCP selects to prescribe a patient a drug by selecting its NDC and name .",,,CHECK,CHECK,,,,,pending
L0157,acre,"When a person logs into iTrust, if he or she is a personal representative, they view their own records or those of the person or people they are representing.",,he or she is a personal representative,CHECK,CHECK,,he or she is a personal representative,,,pending
L0158,acre,The HCP is notified if any of the fields contain characters that are not in the above list.,,any of the fields contain characters that are not in the above list,CHECK,CHECK,,any of the fields contain characters that are not in the above list,,,pending
L0159,acre,The HCP does not confirm the selection and is prompted to try again.,,,CHECK,CHECK,,,,,pending
L0160,acre,The administrator types an invalid name and is prompted to try again.,,administrator types an invalid name,CHECK,CHECK,,administrator types an invalid name,,,pending
L0161,acre,"Once the date range is selected, the LHCP can see the patient name; patient phone number; personal representative (name and phone number), if applicable; and the blood pressure, glucose levels, height, weight, and pedometer readings as well as whom reported the data (patient, UAP name, personal representative name) for that date range.",date range is selected,,CHECK,CHECK,date range is selected,,,,pending
L0162,acre,"After a message is sent, the LHCP is directed to to his or her message outbox.",,,CHECK,CHECK,,,,,pending
L0163,acre,The LHCP is notified if a new or edited appointment time conflicts with another existing appointment .,a new or edited appointment time conflicts with another existing appointment,,CHECK,CHECK,a new or edited appointment time conflicts with another existing appointment,,,,pending
L0164,acre,The HCP types an invalid diagnosis code and is prompted to try again.,,,CHECK,CHECK,,,,,pending
L0165,acre,The administrator types an invalid ID and is prompted to try again.,,administrator types an invalid ID,CHECK,CHECK,,administrator types an invalid ID,,,pending
L0166,acre,"When the HCP selects the Other reason, the HCP shall enter free-style text to provide the details for Other reasons.",,,CHECK,CHECK,,,,,pending
L0167,acre,"By default, the messages in the message inbox or outbox should be ordered by timestamp, the most recent first.",,,CHECK,CHECK,,,,,pending
L0168,acre,"Upon recording the results of the lab procedure, the status is updated to pending.",,,CHECK,CHECK,,,,,pending
L0169,acre,The administrator types an invalid hospital name and is prompted to try again.,,administrator types an invalid hospital name,CHECK,CHECK,,administrator types an invalid hospital name,,,pending
L0170,acre,"If the requested appointment time does not conflict with any existing appointment for the LHCP, the request is saved.",requested appointment time does not conflict with any existing appointment for the LHCP,,CHECK,CHECK,requested appointment time does not conflict with any existing appointment for the LHCP,,,,pending
L0171,acre,"If the lab procedure status is marked as completed, the patient can see the results and the HCP-provided comments.",,lab procedure status is marked as completed,CHECK,CHECK,,lab procedure status is marked as completed,,,pending
L0172,acre,"Privacy laws require, however, that a person should have full access to any information stored about them (unless the well-being of a third party would be jeopardised by revealing the information).",,unless the well-being of a third party would be jeopardised by revealing the information,CHECK,CHECK,,unless the well-being of a third party would be jeopardised by revealing the information,,,pending
L0173,acre,"After the user modifies the criteria, the user chooses to click the Cancel button to cancel the modifications of the filter (i.e., repopulate the user interface with the values of the filtering criteria from the previously saved filter),",,,CHECK,CHECK,,,,,pending
L0174,acre,"After the user modifies the criteria, the user chooses to click the Test Search button to search (i.e., displaying the message inbox  including only the messages satisfying the specified filtering criteria),",,,CHECK,CHECK,,,,,pending
L0175,acre,"After the user modifies the criteria, the user chooses to click the Save button to save the modified filter.",,,CHECK,CHECK,,,,,pending
L0176,acre,"If the security question or answer has been set (it is not null) , present security question.",,,CHECK,CHECK,,,,,pending
L0177,acre,"If the security question or answer has been set (it is not null) , obtain answer .",,,CHECK,CHECK,,,,,pending
